employee_id,from_airport,to_airport,travel_mode,distance_km,hotel_nights,travel_date
EMP-001,LHR,JFK,flight,5540,4,2023-01-10
EMP-002,LHR,CDG,flight,342,1,2023-01-12
EMP-003,London,Manchester,train,310,0,2023-01-15
EMP-004,Manchester,Birmingham,car,145,0,2023-01-18
EMP-005,LHR,DXB,flight,5512,3,2023-01-20
EMP-006,LHR,SIN,flight,10840,5,2023-02-02
EMP-007,Edinburgh,London,train,632,1,2023-02-05
EMP-008,London,Leeds,train,308,0,2023-02-08
EMP-009,LHR,BOS,flight,5265,3,2023-02-14
EMP-010,Birmingham,Bristol,car,155,0,2023-02-19
EMP-011,LHR,ORD,flight,6327,4,2023-03-01
EMP-012,London,Glasgow,train,640,2,2023-03-05
EMP-013,LHR,FRA,flight,652,1,2023-03-08
EMP-014,London,Liverpool,car,348,0,2023-03-12
EMP-015,LHR,NRT,flight,9544,6,2023-03-18
EMP-016,London,Bristol,car,195,0,2023-03-22
EMP-017,LHR,AMS,flight,370,1,2023-03-25
EMP-018,Edinburgh,Manchester,train,332,1,2023-03-28
