plant_code,fuel_type,fuel_liters,procurement_cost,posting_date
PLANT-UK01,Diesel,-8500,11050.00,2023-04-10
PLANT-UK02,Petrol,15000000,19500000.00,2023-04-15
PLANT-DE01,Diesel,42000,54600.00,1998-11-20
PLANT-UK03,,31000,40300.00,2023-04-22
PLANT-FR01,Diesel,0,0.00,2023-04-08
PLANT-DE02,Diesel,58000,75400.00,2030-01-01
PLANT-IE01,Natural Gas,95000,57000.00,2023-05-01
PLANT-UK04,Diesel,46000,59800.00,2023-04-30
PLANT-UK01,Diesel,52000,67600.00,2023-05-15
PLANT-DE01,Petrol,21000,27300.00,2023-05-20
