plant_code,fuel_type,fuel_liters,procurement_cost,posting_date
PLANT-UK01,Diesel,45200,58760.00,2023-01-15
PLANT-UK01,Diesel,51300,66690.00,2023-02-14
PLANT-UK02,Petrol,28900,37570.00,2023-01-20
PLANT-UK02,LPG,12400,9920.00,2023-02-05
PLANT-UK03,Diesel,39800,51740.00,2023-01-10
PLANT-UK03,Natural Gas,88000,52800.00,2023-02-28
PLANT-DE01,Diesel,62100,80730.00,2023-01-08
PLANT-DE01,Petrol,19300,25090.00,2023-03-12
PLANT-DE02,Diesel,44700,58110.00,2023-02-19
PLANT-FR01,LPG,17500,14000.00,2023-01-25
PLANT-FR01,Diesel,55200,71760.00,2023-03-04
PLANT-IE01,Diesel,31600,41080.00,2023-01-30
PLANT-IE01,Petrol,8900,11570.00,2023-02-22
PLANT-UK04,Diesel,48300,62790.00,2023-03-17
PLANT-UK04,Natural Gas,102000,61200.00,2023-01-05
